"Title","ID","Updated Date","PMID","Status","Contributor","Editor","SeniorEditor","Section","Topics","BLUF","Citation","Journal","Authors","Summary","Figures","LevelOfEvidence","Methodology","InternalTags"
"Country-level factors associated with the early spread of COVID-19 cases at 5, 10 and 15 days since the onset","21cbfbe5-e397-4f9e-81f2-5e4db88dd7ef",2020-09-25T00:05:57Z,"32894686","Published","74bf1338-4e36-47be-adf0-7bd59da64f1f","6829c5fb-e2ba-4225-836e-6b148a334f6d","518c3194-4d70-4a2f-918c-2ef441d854c4","Adjusting Practice During COVID-19","[""adjusting practice"",""community"",""global"",""management"",""prevention""]","This epidemiological study using cross-sectional data generated a database containing information on the number of COVID-19 cases at 5, 10, and 15 days since the first confirmed case in 134 countries in order to assess country level factors associated with the spread of COVID-19 (Summary, Table 1, Figure 1, Figure 3). They found that establishment of government measures within the first five days was a strong predictor of the spread of COVID-19 during the next 10 days (IRR 0.95, SE 0.02), suggesting that stringent government practices help limit the spread of COVID-19. ","Glob Public Health. 2020 Sep 7:1-14. doi: 10.1080/17441692.2020.1814835. Online ahead of print.","Glob Public Health","[""Allel K"","" Tapia-Muñoz T"","" Morris W.""]","Six country-level factors were analyzed to study the early spread of COVID-19. They include socioeconomic factors, sociodemographic factors, risk factors for non-communicable diseases, healthcare resources and expenditures, government measures in response to outbreak, other. Results showed all of the factors help determine spread within first five days but country differences are driven by healthcare resources and expenditures after day 10 (IRR (t=15) 0.81, SE 0.07; IRR (t=5) 0.88, SE 0.06). ""Government measures within the first five days was found to be a strong predictor of the spread of COVID-19 during the next 10 days (IRR 0.95, SE 0.02).""","[{""src"":""https://covid19lst.qualtrics.com/jfe/file/F_2R4khakSDR8Sqk3"",""description"":""Table 1. Descriptive statistics (N = 134 countries).\n\nSee entire table https://www.tandfonline.com/doi/full/10.1080/17441692.2020.1814835""},{""src"":""https://covid19lst.qualtrics.com/jfe/file/F_rfJIEEKNE71IKPf"",""description"":""Figure 3. Map of the distribution of the sociodemographic indexes constructed (N = 134).\n\nNotes: The fourth quartile indicates the wealthier sociodemographic index and health system, while it also presents the higher accumulation of comorbidities as for risk factors (NCDs). Blank areas are missing data.""},{""src"":""https://covid19lst.qualtrics.com/jfe/file/F_sMzDNlE9tr3lQMp"",""description"":""Figure 1. Map of the distribution of the number of cases by period (N = 134).\n\nNotes: The fourth quartile indicates the higher number of cases accumulated at time ‘t’. Blank areas are missing data.""}]","1","Local and current random sample surveys (or censuses)",[]
"Spontaneous pneumothorax and subpleural bullae in a patient with COVID-19: a 92-day observation","245408c3-97ba-40b8-ae60-8d73c4d72447",2020-09-25T00:05:57Z,"32951046","Published","ee98e9f9-d24b-41c2-986c-befeac94448b","37b21518-2a48-474b-b0ca-0fd69940f406","128c5f16-d1ca-4393-ab63-3b649101cfec","Management > Acute care","[""critical care"",""in hospital"",""presentation"",""radiology"",""symptoms""]","This case report from the Department of Radiology at Union Hospital in Wuhan, China describes a previously healthy 32 year old male who was treated for COVID-19 and viral pneumonia with good recovery aside from a cough. Three days after initial recovery, the patient developed respiratory distress and was found to have spontaneous pneumothorax and subpleural bullae on chest CT imaging (Figure 1, 2). This case suggests that subpleural consolidation with persistent cough in the setting of COVID-19 may increase the risk for non-traumatic pneumothorax and subpleural bullae.","Eur J Cardiothorac Surg. 2020 Sep 20:ezaa305. doi: 10.1093/ejcts/ezaa305. Online ahead of print.","Eur J Cardiothorac Surg","[""Fan Q"","" Pan F"","" Yang L.""]",,"[{""src"":""https://covid19lst.qualtrics.com/jfe/file/F_12xnqytYRWc4bmQ"",""description"":""Figure 1: Timeline of the clinical course. AST: aspartate aminotransferase; COVID-19: coronavirus disease-2019; CT: computed tomography; IL: interleukin; LDH: lactate dehydrogenase.""},{""src"":""https://covid19lst.qualtrics.com/jfe/file/F_2c2EsnX25hEwvdX"",""description"":""Figure 2: Typical chest computed tomography manifestations at different time points. Day 21, pneumothorax was found on the left side with a subpleural giant bulla (A), which was completely absorbed on day 92 (B). Day 21, a subpleural hypodense line (B, black arrows) was noticed in the right upper lung attaching to a branch of a peripheral bronchus (C, white arrowhead) surrounded with consolidation; day 24, the previous subpleural hypodense line became a localized pneumothorax (D, black arrow); day 92, the localized pneumothorax was completely absorbed (E). All images have the same window level of −600 and window width of 1600.""}]","Other","Case Report",[]
"Guillain-Barré Syndrome Associated With Severe Acute Respiratory Syndrome Coronavirus 2 Detection and Coronavirus Disease 2019 in a Child","2c7d3fa3-f0bc-40fe-accb-d9d0340ead0b",2020-09-26T01:24:20Z,"32652520","Published","5b6f2a4f-eb76-44e9-94bd-7a5623b3415c","6f77f78f-16e2-4fa6-8e63-98a29547d49a","aebaf5f2-67f3-474f-884f-6b8c82644f74","Epidemiology > Symptoms and Clinical Presentation > Pediatrics","[""epidemiology"",""global"",""immunology"",""management"",""neurology"",""pediatrics"",""presentation"",""symptoms""]","This report details one of the first reported pediatric cases of Guillain-Barré Syndrome (GBS) following a SARS-CoV-2 infection. An 11-year-old male from Saudi Arabia was admitted to the hospital on April 10, 2020 for neurological symptoms, with subsequent confirmation of GBS followed by positive SARS-CoV-2 test (see summary). Authors emphasize the importance of prompt recognition and treatment of neuromuscular presentations in pediatric COVID-19 cases.","J Pediatric Infect Dis Soc. 2020 Sep 17;9(4):510-513. doi: 10.1093/jpids/piaa086.","J Pediatric Infect Dis Soc","[""Khalifa M"","" Zakaria F"","" Ragab Y"","" Saad A"","" Bamaga A"","" Emad Y"","" Rasker JJ.""]","An 11-year-old boy presented to Bagedo General Hospital in Jeddah, Saudi Arabia on April 10, 2020 with acute onset unsteady gait, inability to walk, and tingling sensation in bilateral lower extremities. There was no known contact with anyone positive for COVID-19, however he did have a mild upper respiratory tract infection on March 20, 2020 for which he received antibiotics. Physical exam revealed lower extremity muscle weakness and decreased reflexes, with subsequent nerve conduction studies confirming the diagnosis of GBS, and spinal imaging further supporting the diagnosis (Figures 1A, 1B). Additional imaging revealed abnormalities in the patient’s lungs with basal veiling opacities (Figures 1C, 1D) and subsegmental faint opacity with atelectasis (Figures 1E, 1F). SARS-CoV-2 was suspected, and confirmed via RT-PCR on April 15, 2020. The patient was started on acetaminophen as needed, hydroxychloroquine twice daily, and thromboprophylaxis with heparin. Respiratory symptoms were mild throughout the course, and neurological symptoms slowly improved, though the patient also developed dermatological manifestation with a nonpruritic morbilliform skin rash on bilateral palms (Figure 1G). The patient’s symptoms fully resolved and he was discharged home on April 25, 2020.","[{""src"":""https://covid19lst.qualtrics.com/jfe/file/F_2RRqNry7jUdGkxB"",""description"":""Figure 1. A and B, Sagittal and axial T1 fat saturation postcontrast magnetic resonance imaging showing cauda equina nerve root enhancement (white arrow) indicative of Guillain-Barré syndrome. C and D, Chest radiograph postanterior and left lateral views showing bilateral paracardiac and basal veiling. E and F, Computed tomography of the chest showing small patchy subsegmental faint opacity with atelectasis band in the lingula on the week after admission (white circles). G, Morbilliform skin rash over the palmar aspect of the left hand.""}]","Other","Case Report",[]
"Efficacy of corticosteroids in non-intensive care unit patients with COVID-19 pneumonia from the New York Metropolitan region","3428ace1-715e-49af-9cc9-007f8c0bef86",2020-09-16T17:54:08Z,"32903258","Published","1c3399b7-a074-4a13-a7df-914445bc6b19","b2ac1e3e-d206-437a-a5ff-21dc17e3ec44","b30119c1-1db7-42b0-a80e-4e5601747093","Management > Acute care","[""acute"",""in hospital"",""management"",""treatments"",""prognosis""]","A single-center retrospective cohort study (n=205 patients with confirmed COVID-19 pneumonia with acute hypoxemic respiratory failure (AHRF), 60 patients treated with corticosteriods at the physician's discretion) by internists at the Metropolitan Hospital Center, NYC from Mar 16 - May 10, 2020 found that patients treated with corticosteroids exhibited lower risk of ICU transfer, intubation, and death** (Figure 1, Table 3) in addition to greater SpO2/FiO2 improvement when compared to controls (Figure 2). These results suggest that usage of corticosteroids for non-intubated patients with COVID-19 pneumonia complicated by AHRF may lead to decreased mortality and complications. ","PLoS One. 2020 Sep 9;15(9):e0238827. doi: 10.1371/journal.pone.0238827. eCollection 2020.","PLoS One","[""Majmundar M"","" Kansara T"","" Lenik JM"","" Park H"","" Ghosh K"","" Doshi R"","" Shah P"","" Kumar A"","" Amin H"","" Chaudhari S"","" Habtes I.""]","** The authors report the following adjusted hazard ratios as development of the composite primary outcome of ICU transfer, intubation, and death (0.15 [95% CI, 0.07-0.33; p&lt;0.001]):
- ICU transfer (0.16 [95% CI, 0.07-0.34; p&lt;0.001]) 
- Intubation (0.31 [95% CI, 0.14-0.70; p=0.005])
- Death (0.53 [95% CI, 0.22-1.31; p=0.172])","[{""src"":""https://covid19lst.qualtrics.com/jfe/file/F_1Fggvf7sa7Pqd3I"",""description"":""Figure 1: Kaplan-Meier curve of patients with non-severe COVID-19 pneumonia who received and did not receive corticosteroids. Panel (A) Primary Outcome. Primary outcome is a composite of ICU transfer, intubation or death. Panel (B) In-hospital Mortality. Panel (C) Composite of intubation or death.""},{""src"":""https://covid19lst.qualtrics.com/jfe/file/F_XOjo5XCAXEvK7S1"",""description"":""Figure 2: Comparison of trend of mean SpO2/FiO2 ratio since index date with and without corticosteroid.""},{""src"":""https://covid19lst.qualtrics.com/jfe/file/F_29u0bP8mp5aWu8F"",""description"":""Table 3: Unadjusted and model-adjusted risk of primary and secondary outcomes""}]","3","Non-randomized controlled cohort/follow-up study","[""Executive Summary""]"
"Clinical Outcomes in Young US Adults Hospitalized With COVID-19","3874d2a9-1150-4d39-a5b7-053a094d259d",2020-09-23T17:37:39Z,"32902580","Published","b42ec4eb-0a9e-4c97-8ba4-2d1607846c3f","6f77f78f-16e2-4fa6-8e63-98a29547d49a","aebaf5f2-67f3-474f-884f-6b8c82644f74","Epidemiology > Symptoms and Clinical Presentation > Adults","[""adults"",""epidemiology"",""in hospital""]","Physicians from Brigham and Women's Hospital in Boston, Massachusetts extracted data from the Premier Healthcare Database to explore outcomes and clinical profiles of 3,222 young adults (ages 18-34) hospitalized between April 1st, 2020 and June 30th, 2020 with COVID-19 (Table 1) and found 21% of patients required intensive care, 10% required mechanical ventilation, and 2.7% died. Also, there was increased risk of adverse outcomes in patients with morbid obesity, hypertension, or diabetes (Figure 1). Authors suggest young adults hospitalized for COVID-19 may experience significant adverse outcomes, emphasizing the importance of prevention among this age group.","JAMA Intern Med. 2020 Sep 9. doi: 10.1001/jamainternmed.2020.5313. Online ahead of print.","JAMA Intern Med","[""Cunningham JW"","" Vaduganathan M"","" Claggett BL"","" Jering KS"","" Bhatt AS"","" Rosenthal N"","" Solomon SD.""]",,"[{""src"":""https://covid19lst.qualtrics.com/jfe/file/F_3aX8LaF99coWMA9"",""description"":""Table 1. Baseline characteristics of young adults age 18 to 34 years with COVID-19.""},{""src"":""https://covid19lst.qualtrics.com/jfe/file/F_1N4DVepiwhOQn8Z"",""description"":""Figure 1. Death and mechanical ventilation in young adults with and without morbid obesity, hypertension, and diabetes.""}]","1","Local and current random sample surveys (or censuses)","[""Executive Summary""]"
"Randomized elimination and prolongation of ACE inhibitors and ARBs in coronavirus 2019 (REPLACE COVID) Trial Protocol","424047b3-f993-4bd8-a5f8-49aa3c0fa9e7",2020-09-25T00:05:57Z,"32937008","Published","74bf1338-4e36-47be-adf0-7bd59da64f1f","37b21518-2a48-474b-b0ca-0fd69940f406","128c5f16-d1ca-4393-ab63-3b649101cfec","Adjusting Practice During COVID-19","[""adjusting practice"",""global"",""management""]","Multidisciplinary investigators from various medical institutions describe the Randomized Elimination or ProLongation of ACEi and ARB in COronaVIrus Disease 2019 trial (REPLACE COVID NCT04338009; Figure 2), an international, randomized controlled study that began on March 31, 2020 and will continue to enroll up to a total 152 participants. In this trial, subjects with COVID-19 who are taking angiotensin-converting enzyme inhibitors (ACEis) and/or angiotensin receptor blockers (ARB) are randomized to either continue or discontinue these medications upon hospitalization. The primary outcome of this study is a hierarchical global rank score (Figure 4) that considers time to death from initial hospitalization, duration of mechanical ventilation and vasopressor therapy, duration of renal replacement, and multi-organ failure (assessed by Sequential Organ Failure Assessment score). The findings of this study will provide valuable information on the effect of ACEis and ARBs in COVID-19 patients. ","J Clin Hypertens (Greenwich). 2020 Sep 16. doi: 10.1111/jch.14011. Online ahead of print.","J Clin Hypertens (Greenwich)","[""Cohen JB"","" Hanff TC"","" Corrales-Medina V"","" William P"","" Renna N"","" Rosado-Santander NR"","" Rodriguez-Mori JE"","" Spaak J"","" Andrade-Villanueva J"","" Chang TI"","" Barbagelata A"","" Alfonso CE"","" Bernales-Salas E"","" Coacalla J"","" Castro-Callirgos CA"","" Tupayachi-Venero KE"","" Medina C"","" Valdivia R"","" Villavicencio M"","" Vasquez CR"","" Harhay MO"","" Chittams J"","" Sharkoski T"","" Byrd JB"","" Edmonston DL"","" Sweitzer N"","" Chirinos JA.""]",,"[{""src"":""https://covid19lst.qualtrics.com/jfe/file/F_2AXNvXavMhaFj9y"",""description"":""Figure 2. Study overview and design""},{""src"":""https://covid19lst.qualtrics.com/jfe/file/F_Ug4dEoWHcWozYo9"",""description"":""Figure 4. The REPLACE COVID global rank score. Participants are ranked from worst to best outcomes by (1) days in hospital to death; (2) days on invasive mechanical ventilation or extracorporeal membrane oxygenation; (3) days on renal replacement therapy or inotropic/vasopressor therapy; and (4) area under the curve of a modified SOFA score""}]","2","Randomized trial or observational study with dramatic effect",[]
"Current meta-analysis does not support the possibility of COVID-19 reinfections","44d6816a-50af-46c1-bdc0-9a000a8f03ed",2020-09-21T18:01:26Z,"32897549","Published","ea564862-3446-4e35-a428-309d7728031d","6f77f78f-16e2-4fa6-8e63-98a29547d49a","aebaf5f2-67f3-474f-884f-6b8c82644f74","Epidemiology > Symptoms and Clinical Presentation","[""adults"",""epidemiology"",""presentation"",""symptoms"",""prognosis""]","A meta-analysis of 15 peer-reviewed articles from the United States National Library of Medicine at the National Institutes of Health (Table 1) by physicians in the U.S. and Europe found recurrent COVID-19 infections (confirmed via RT-PCR) were reported at a mean of 34 ± 10.5 days after full clinical recovery from an initial infection, but these patients also had persistent positive RT-PCR tests for a mean of 39 ± 9 days following their initial infection; furthermore, a persistent positive test could be detected in patients without clinical relapse for 54 ± 24 days following initial infection (Figure 1). Authors highlight the complexity of differentiating prolonged infection versus reinfection with COVID-19, suggesting these findings may be useful for advancements in vaccine development.","J Med Virol. 2020 Sep 8. doi: 10.1002/jmv.26496. Online ahead of print.","J Med Virol","[""Arafkas M"","" Khosrawipour T"","" Kocbach P"","" Zielinski K"","" Schubert J"","" Mikolajczyk A"","" Celinska M"","" Khosrawipour V.""]",,"[{""src"":""https://covid19lst.qualtrics.com/jfe/file/F_2tuv58Zkt0xWz8T"",""description"":""Table 1. Available research data extracted from the United States National Library of Medicine at the National Institutes of Health; (y) indicates years, Reverse transcription polymerase chain reaction (RT-PCR).""},{""src"":""https://covid19lst.qualtrics.com/jfe/file/F_3Jl7h7DxrsYFVPE"",""description"":""Figure 1. Meta-analysis of patients with clinical relapse and persisting COVID-19 positive test results. Age distribution is presented on the left side. Distribution of beginning of clinical relapse as well as last time of positive COVID-19 testing after initial diagnosis is shown on the right. Box-plot model including minimum value, first quartile, median value, third quartile, and maximum value.""}]","2","Systematic review of surveys that allow matching to local circumstances","[""Recomend Closer Inspection"",""Executive Summary""]"
"Second week methyl-prednisolone pulses improve prognosis in patients with severe coronavirus disease 2019 pneumonia: An observational comparative study using routine care data","47c118b4-9820-4557-8ef0-d24015ea94c3",2020-09-26T01:24:20Z,"32960899","Published","b0f69700-4384-4947-bd85-bd6ea5d73c4e","b2ac1e3e-d206-437a-a5ff-21dc17e3ec44","b30119c1-1db7-42b0-a80e-4e5601747093","R&D: Diagnosis & Treatments > Developments in Treatments","[""acute"",""adults"",""critical care"",""in hospital"",""pharmacy"",""treatments"",""prognosis""]","An observational comparative study at Hospital Universitario Cruces, Barakaldo, Bizkaia, Spain between March 1 - April 30, 2020 involving 242 patients with severe COVID-19 pneumonia with corresponding elevated inflammatory markers, including 61 patients receiving methylprednisolone (MP) in week 2 of infection, found 22 patients (9%) died and 31 (12.8%) suffered death or intubation. Hazard ratios for death and death or intubation for the week-2 MP group had lower adjusted risk for both outcomes compared to out-of-week-2 MP (administered Week 1 or Week 3), non-pulse glucocorticoids (&lt;100mg/day), or no glucocorticoids (Table 2 & Figure 2), but these values were only significant in patients with low SpO2/FiO2 (&lt;353). These findings suggest the potential benefit of early MP use in the second week of infection to improve prognosis of patients with inflammatory activity and respiratory deterioration secondary to COVID-19 pneumonia.","PLoS One. 2020 Sep 22;15(9):e0239401. doi: 10.1371/journal.pone.0239401. eCollection 2020.","PLoS One","[""Ruiz-Irastorza G"","" Pijoan JI"","" Bereciartua E"","" Dunder S"","" Dominguez J"","" Garcia-Escudero P"","" Rodrigo A"","" Gomez-Carballo C"","" Varona J"","" Guio L"","" Ibarrola M"","" Ugarte A"","" Martinez-Berriotxoa A; Cruces COVID Study Group.""]",,"[{""src"":""https://covid19lst.qualtrics.com/jfe/file/F_2U3Bke9jEWgcdS3"",""description"":""Table 2: Predictors of death: Final models.""},{""src"":""https://covid19lst.qualtrics.com/jfe/file/F_vjGUUQJc8EwvBZf"",""description"":""Fig 1. Kaplan-Meier failure curves, second week methyl-prednisolone pulses (2-MP) vs. no 2-MP. Outcome: death. (a) Whole cohort (n = 242). Log-rank test, p = 0.102. (b) Patients with low SpO2/FiO2 (n = 122). Log-rank test, p = 0.041.""}]","3","Non-randomized controlled cohort/follow-up study","[""Executive Summary""]"
"Incident Command in the Time of COVID-19","47ca05d1-80b6-4aee-afa8-4e2e91921baf",2020-09-16T17:54:08Z,"32909043","Published","4a5eb0a7-05c5-4b3c-b015-253c69a367ba","b2ac1e3e-d206-437a-a5ff-21dc17e3ec44","b30119c1-1db7-42b0-a80e-4e5601747093","Transmission & Prevention > Prevention in the Hospital","[""adjusting practice"",""healthcare workforce"",""in hospital"",""prevention"",""transmission""]","Jim Cook, associated with Houston Methodist Healthcare System in Texas, presents a description of the effectiveness of an Incident Command System (ICS) implemented in their organization at the very beginning of the COVID-19 outbreak. The ICS enables effective management and risk reduction in many disasters based on 7 principles and 5 objectives. The author highlights the role of ICS in organizing the staff and patients, in addition to analyzing, planning, and implementing strategies to manage the pandemic and alleviate anxiety through communicating reliable information (Figures 1, 2), indicating the importance of an ICS in organizations for constructive disaster management in the future.","Lab Med. 2020 Sep 10:lmaa073. doi: 10.1093/labmed/lmaa073. Online ahead of print.","Lab Med","[""Cook J.""]","Incident Command System (ICS) was first developed in 1970 by U.S firefighting agencies. It has since been rooted in many organizations and medical specialties for efficacious management of disasters like hurricanes. Hospital emergency preparedness and planning is implemented through the Hospital Emergency Incident Command System (HEICS).

- The ICS was implemented in the Houston Methodist organization in the very early stages of the COVID-19 outbreak, when only 17 confirmed cases were reported in Houston.
- ICS works on 7 principles: ""standardization, functional specificity, a manageable span of control, unit integrity, unified command, management by objectives, and comprehensive resource management"".
- The 5 major objectives include: ""command, operations, planning, logistics, finance and administration"".
- ICS has contributed to the reduction of anxiety through effective communication strategies with reliable and accurate information (Figure 2). Figure 1 shows the COVID-19 ICS structure.","[{""src"":""https://covid19lst.qualtrics.com/jfe/file/F_3IYvdDVAvyYoozr"",""description"":""Figure 1: COVID incident command structure.\n""},{""src"":""https://covid19lst.qualtrics.com/jfe/file/F_b18PIqeouF8FQ4h"",""description"":""Figure 2: COVID pandemic trajectory.\n""}]","Other","Guidelines and Recommendations","[""Executive Summary""]"
"Detection of environmental SARS-CoV-2 RNA in a high prevalence setting in Spain","50094ef5-e293-4918-b18a-60ac180e73d0",2020-09-23T17:37:39Z,"32894654","Published","5b6f2a4f-eb76-44e9-94bd-7a5623b3415c","6f77f78f-16e2-4fa6-8e63-98a29547d49a","aebaf5f2-67f3-474f-884f-6b8c82644f74","Epidemiology","[""community"",""epidemiology"",""global"",""prevention"",""transmission"",""rural""]","To assess environmental prevalence of SARS-CoV-2, microbiologists collected and analyzed 57 samples on May 13 and June 5, 2020 from 13 households, 9 public venues, and the wastewater sewage system of Horcajo de los Montes village in Spain (883 inhabitants). They found 12% of samples from clothing, fridge and oven handles, doors knobs, keyboards, and other items were SARS-CoV-2 positive via RT-PCR. Although 6% of villagers had COVID-19, most known cases had resolved prior to sample collection, suggesting there may be a significant incidence and persistence of SARS-CoV-2 in the environment even after recovery within the population.","Transbound Emerg Dis. 2020 Sep 7. doi: 10.1111/tbed.13817. Online ahead of print.","Transbound Emerg Dis","[""Fernández-de-Mera IG"","" Rodríguez Del-Río FJ"","" Fuente J"","" Pérez-Sancho M"","" Hervás D"","" Moreno I"","" Domínguez M"","" Domínguez L"","" Gortázar C.""]",,[],"3","Local non-random sample","[""Executive Summary""]"
"The impact of aging and COVID-19 on our immune system: a high-resolution map from single cell analysis","50e2dfa8-49a2-401a-a195-de28fee01075",2020-09-25T00:05:57Z,"32894404","Published","74bf1338-4e36-47be-adf0-7bd59da64f1f","37b21518-2a48-474b-b0ca-0fd69940f406","128c5f16-d1ca-4393-ab63-3b649101cfec","Understanding the Pathology","[""adults"",""immunology"",""presentation"",""review"",""symptoms""]","Investigators affiliated with University of Electronic Science and Technology of China and University of California review Zheng et al.'s study in which single cell RNA sequencing and mass cytometry were performed to analyze isolated peripheral blood mononuclear cells (PBMC) from both healthy and COVID-19-infected young and elderly humans. They found that the healthy, aging group had decreased T-cells and B-cells and increased natural killer cells and monocytes, illustrating that ""aging shifts the immune cells towards more polarized and inflammatory populations."" Additionally, they noted that the COVID-19 group showed depletion of T cells and increased pro-inflammatory monocytes. Based on these findings, Zheng at el. suggests that aging and COVID-19 act ""synergistically"" to deplete the adaptive immune system, which may contribute to the severity of COVID-19 symptoms in older patients. ","Protein Cell. 2020 Sep 7. doi: 10.1007/s13238-020-00782-y. Online ahead of print.","Protein Cell","[""Yang J"","" Li H.""]",,[],"Other","Review / Literature Review",[]
"Obesity and Hypertension in the Time of COVID-19","5544c79f-cc30-41da-bb74-640277e0a492",2020-09-25T00:05:57Z,"32902581","Published","c9f7901c-0de7-4e2e-be46-54cda789d477","6f77f78f-16e2-4fa6-8e63-98a29547d49a","aebaf5f2-67f3-474f-884f-6b8c82644f74","Climate > Disparities","[""adults"",""cardiology"",""community"",""disparities"",""nephrology"",""race""]","In this editorial, directors of the National Institute of Diabetes and Digestive and Kidney diseases (NIDDK) and National Heart, Lung, and Blood Institute (NHLBI) at the National Institutes of Health (NIH) discuss how the obesity epidemic and poorly controlled hypertension as risk factors for COVID-19 morbidity and mortality affect racial/ethnic minority groups disproportionately. Authors suggest these findings represent the profound effects of systemic racism and social determinants of health as ""complex drivers of health disparities"", which calls for comprehensive and multilevel interventions aimed at achieving health equity nationwide.","JAMA. 2020 Sep 9. doi: 10.1001/jama.2020.16753. Online ahead of print.","JAMA","[""Rodgers GP"","" Gibbons GH.""]",,[],"Other","Expert Opinion",[]
"Decontamination of SARS-CoV-2 and Other RNA Viruses from N95 Level Meltblown Polypropylene Fabric Using Heat under Different Humidities","5653d068-e886-49fa-8ecb-ac04b8b1ff80",2020-09-25T00:05:57Z,"32955847","Published","51d0ab69-abab-4a7c-9127-6f30a7239938","b2ac1e3e-d206-437a-a5ff-21dc17e3ec44","b30119c1-1db7-42b0-a80e-4e5601747093","Transmission & Prevention > Prevention in the Hospital","[""critical care"",""healthcare workforce"",""in hospital"",""prevention"",""supply chain"",""transmission""]","A study by members from the University of Texas, Stanford University, and various biomedical research institutions across Texas and California investigated efficacy of heat inactivation of SARS-CoV-2 and two similar viruses dried on meltblown polypropylene fabric used to make some N95 masks. They found that temperatures of 75 ̊C for 30 min or 85 ̊C for 20 min using 100% relative humidity (Figure 3) resulted in efficient decontamination of SARS-CoV-2 without comprising the filtration efficiency of the fabric over at least 20 treatments. The authors concluded that this could be a promising decontamination method during mask shortages, in addition to the discovery that humidity enhances the decontamination process, which may be helpful in the formation of certain public policies. ","ACS Nano. 2020 Sep 21. doi: 10.1021/acsnano.0c06565. Online ahead of print.","ACS Nano","[""Campos RK"","" Jin J"","" Rafael GH"","" Zhao M"","" Liao L"","" Simmons G"","" Chu S"","" Weaver SC"","" Chiu W"","" Cui Y.""]",,"[{""src"":""https://covid19lst.qualtrics.com/jfe/file/F_0xpUsV8ygfpG4ZX"",""description"":""* BSA: bovine serine albumin; used in this study to mimic bodily fluids such as sputum, which is known to stabilizes viruses.""}]","5","Mechanism-based reasoning",[]
"Cascading Risks of COVID-19 Resurgence During an Active 2020 Atlantic Hurricane Season","5858f19a-e643-420f-8d00-03e6e59550ae",2020-09-21T18:01:26Z,"32897351","Published","55b27228-7945-481f-9611-065e9e8c131c","37b21518-2a48-474b-b0ca-0fd69940f406","128c5f16-d1ca-4393-ab63-3b649101cfec","Transmission & Prevention > Prevention in the Community","[""management"",""prevention""]","Researchers affiliated with University of Miami, Craig Fugate Consulting LLC, and, Boston University argue that hurricane protection measures, such as evacuation and sheltering, cause people to gather together and is the paramount reason for the 3.7x increase in COVID-19 cases between May 1 and July 24, 2020. They suggest that during hurricanes, 1) people at risk should social distance, 2) officials should provide better communications for guidance on safe evacuation and sheltering, and that 3) we should ""learn from each 2020 storm and refine operations.""","JAMA. 2020 Sep 8;324(10):935-936. doi: 10.1001/jama.2020.15398.","JAMA","[""Shultz JM"","" Fugate C"","" Galea S.""]",,[],"Other","Expert Opinion","[""Executive Summary""]"
